_id,operator_registration_number,address,unit,postal_code,property_type,ward_number,ward_name,address_for_geocode,location,latitude,longitude,coordinates
4330437,STR-2407-HHJHPW,942 Yonge St,722,M4W,Condominium,11,University-Rosedale,"942 Yonge St, Toronto, ON, Canada","Memphis Condominium, 942, Yonge Street, Rosedale-Moore Park, University—Rosedale, Toronto, Golden Horseshoe, Ontario, M4W 3C7, Canada",43.6746538,-79.3890069,
4330438,STR-2408-HVHFBY,327 King St West,3503,M5V,Condominium,10,Spadina-Fort York,"327 King St West, Toronto, ON, Canada","327, King Street West, Wellington Place, Spadina—Fort York, Toronto, Golden Horseshoe, Ontario, M5V 1J9, Canada",43.6461484,-79.3911251,
4330439,STR-2009-GLDPBG,350 Ossington Ave,,M6J,Townhouse/ Row House,9,Davenport,"350 Ossington Ave, Toronto, ON, Canada","350, Ossington Avenue, Trinity-Bellwoods, University—Rosedale, Toronto, Golden Horseshoe, Ontario, M6J 3A6, Canada",43.65211952857143,-79.42201999,
4330440,STR-2009-GTKPBH,994 Dundas St W,3,M6J,Single/Semi-detached House,11,University-Rosedale,"994 Dundas St W, Toronto, ON, Canada","Kigurumi.com, 994, Dundas Street West, Trinity-Bellwoods, University—Rosedale, Toronto, Golden Horseshoe, Ontario, M6J 1W1, Canada",43.6504873,-79.4155104,
4330441,STR-2009-HSDPBL,59 Claremont St,,M6J,Duplex/Triplex/Fourplex,10,Spadina-Fort York,"59 Claremont St, Toronto, ON, Canada","59, Claremont Street, Trinity-Bellwoods, Spadina—Fort York, Toronto, Golden Horseshoe, Ontario, M6J 2K6, Canada",43.64808471818181,-79.41023511,
4330442,STR-2009-HZKPBM,47 Uxbridge Ave,,M6N,Single/Semi-detached House,9,Davenport,"47 Uxbridge Ave, Toronto, ON, Canada","47, Uxbridge Avenue, Weston-Pelham Park, Davenport, Toronto, Golden Horseshoe, Ontario, M6N, Canada",43.66916620322581,-79.45627757,
4330443,STR-2009-HZLVBM,217 York Mills Rd,,M2L,Single/Semi-detached House,15,Don Valley West,"217 York Mills Rd, Toronto, ON, Canada","217, York Mills Road, St.Andrew-Windfields, Don Valley West, North York, Toronto, Golden Horseshoe, Ontario, M2L 1L3, Canada",43.7469329,-79.3887716,
4330444,STR-2009-FFWHBB,9 Highhill Dr,,M1T,Single/Semi-detached House,22,Scarborough-Agincourt,"9 Highhill Dr, Toronto, ON, Canada","9, Highhill Drive, Tam O'Shanter-Sullivan, Scarborough—Agincourt, Scarborough, Toronto, Golden Horseshoe, Ontario, M1T 1P7, Canada",43.77585476354174,-79.31505108,
4330445,STR-2009-FPCHBC,235 Seaton St,,M5A,Single/Semi-detached House,13,Toronto Centre,"235 Seaton St, Toronto, ON, Canada","235, Seaton Street, Moss Park, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5A 2E7, Canada",43.66060402,-79.37019129,
4330446,STR-2009-GDQHBF,153 Parkhurst Blvd,,M4G,Single/Semi-detached House,15,Don Valley West,"153 Parkhurst Blvd, Toronto, ON, Canada","153, Parkhurst Boulevard, Leaside-Bennington, Don Valley West, East York, Toronto, Golden Horseshoe, Ontario, M4G 4E4, Canada",43.71023293157895,-79.36638654,
4330447,STR-2009-GVCHBH,31 Irvington Cres,UL RM 1&2,M2N,Single/Semi-detached House,18,Willowdale,"31 Irvington Cres, Toronto, ON, Canada","31, Irvington Crescent, Avondale, Willowdale, North York, Toronto, Golden Horseshoe, Ontario, M2L 2J2, Canada",43.764293069611945,-79.3897035,
4330448,STR-2009-GFFVBF,67 Niagara St,,M5V,Townhouse/ Row House,10,Spadina-Fort York,"67 Niagara St, Toronto, ON, Canada","67, Niagara Street, West Queen West, Spadina—Fort York, Toronto, Golden Horseshoe, Ontario, M5V 2P7, Canada",43.641659227272726,-79.40251151,
4330449,STR-2009-GMLVBG,157 Euclid Ave,,M6J,Single/Semi-detached House,10,Spadina-Fort York,"157 Euclid Ave, Toronto, ON, Canada","157, Euclid Avenue, Highland Creek, Scarborough—Rouge Park, Scarborough, Toronto, Golden Horseshoe, Ontario, M1C 1T1, Canada",43.7958635,-79.1652137,
4330450,STR-2009-GVSVBH,217 Bathurst St,Unit 3,M5T,Duplex/Triplex/Fourplex,10,Spadina-Fort York,"217 Bathurst St, Toronto, ON, Canada","217, Bathurst Street, Alexandra Park, Spadina—Fort York, Toronto, Golden Horseshoe, Ontario, M5T 2R9, Canada",43.6486499,-79.4043476,
4330451,STR-2009-FHCHBB,126 Norseman St,,M8Z,Single/Semi-detached House,3,Etobicoke-Lakeshore,"126 Norseman St, Toronto, ON, Canada","126, Norseman Street, Stonegate-Queensway, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, M8Z 2R1, Canada",43.634527,-79.51878712,
4330452,STR-2009-FHSVBB,96 Caithness Ave,,M4J,Single/Semi-detached House,14,Toronto-Danforth,"96 Caithness Ave, Toronto, ON, Canada","96, Caithness Avenue, Danforth, Toronto—Danforth, East York, Toronto, Golden Horseshoe, Ontario, M4J 3N7, Canada",43.68376832727273,-79.33624093,
4330453,STR-2009-FQYVBC,71 Kippendavie Ave,,M4L,Single/Semi-detached House,19,Beaches-East York,"71 Kippendavie Ave, Toronto, ON, Canada","71, Kippendavie Avenue, The Beaches, Beaches—East York, Toronto, Golden Horseshoe, Ontario, M4L 3R3, Canada",43.66790970769231,-79.30321903,
4330454,STR-2009-GRQHBG,112 George St,1107,M5A,Condominium,13,Toronto Centre,"112 George St, Toronto, ON, Canada","112, George Street, Mimico-Queensway, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, M8V 1R4, Canada",43.6117268,-79.49538163,
4330455,STR-2009-GHCHBF,30 Nelson St,20,M5V,Townhouse/ Row House,10,Spadina-Fort York,"30 Nelson St, Toronto, ON, Canada","30, Nelson Street, Eglinton East, Scarborough Centre, Scarborough, Toronto, Golden Horseshoe, Ontario, M1J 2V6, Canada",43.74649533,-79.23163234,
4330456,STR-2009-HWJHBL,243 Seaton St,,M5A,Townhouse/ Row House,13,Toronto Centre,"243 Seaton St, Toronto, ON, Canada","243, Seaton Street, Moss Park, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5A 2E7, Canada",43.66081531,-79.37028062,
4330457,STR-2009-JDQHBM,155 Yorkville Ave,1816,M5R,Condominium,11,University-Rosedale,"155 Yorkville Ave, Toronto, ON, Canada","Yorkville Plaza, 155, Yorkville Avenue, Annex, University—Rosedale, Toronto, Golden Horseshoe, Ontario, M5R 0B4, Canada",43.67025235,-79.39431806,
4330458,STR-2009-GYFVBH,50 Lotherton Ptwy,815,M6B,Condominium,8,Eglinton-Lawrence,"50 Lotherton Ptwy, Toronto, ON, Canada","50 Lotherton Pathway, North York, ON M6B 2G7",43.7059769202281,-79.46702077366614,"43.7059769202281, -79.46702077366614"
4330459,STR-2009-JFFVBM,270 Cummer Ave,,M2M,Single/Semi-detached House,18,Willowdale,"270 Cummer Ave, Toronto, ON, Canada","270, Cummer Avenue, Newtonbrook East, Willowdale, North York, Toronto, Golden Horseshoe, Ontario, M2M 2J1, Canada",43.79000001451613,-79.4043943,
4330460,STR-2009-FKQHBB,14 Bexhill Ave,,M1L,Single/Semi-detached House,20,Scarborough Southwest,"14 Bexhill Ave, Toronto, ON, Canada","14, Bexhill Avenue, Clairlea-Birchmount, Scarborough Southwest, Scarborough, Toronto, Golden Horseshoe, Ontario, M1L 3H1, Canada",43.700812275,-79.28826623,
4330461,STR-2009-FSWHBC,25 Greensides Ave,,M6G,Single/Semi-detached House,12,Toronto-St. Paul's,"25 Greensides Ave, Toronto, ON, Canada","25, Greensides Avenue, Wychwood, Toronto—St. Paul's, Toronto, Golden Horseshoe, Ontario, M6G 3S8, Canada",43.67803252258064,-79.42885704,
4330462,STR-2009-GYWHBH,1568 Dundas St E,,M4L,Single/Semi-detached House,14,Toronto-Danforth,"1568 Dundas St E, Toronto, ON, Canada","1568, Dundas Street East, South Riverdale, Toronto—Danforth, Toronto, Golden Horseshoe, Ontario, M4M 3C7, Canada",43.66723353333334,-79.33012073,
4330463,STR-2009-HQJHBK,11 Sergio Marchi St,,M3L,Single/Semi-detached House,7,Humber River-Black Creek,"11 Sergio Marchi St, Toronto, ON, Canada","11, Sergio Marchi Street, Oakdale-Beverley Heights, Humber River—Black Creek, North York, Toronto, Golden Horseshoe, Ontario, M3L 1L4, Canada",43.7304624,-79.52097386,
4330464,STR-2009-FLFVBB,155 Yorkville Ave,1012,M5R,Condominium,11,University-Rosedale,"155 Yorkville Ave, Toronto, ON, Canada","Yorkville Plaza, 155, Yorkville Avenue, Annex, University—Rosedale, Toronto, Golden Horseshoe, Ontario, M5R 0B4, Canada",43.67025235,-79.39431806,
4330465,STR-2009-GBSVBD,205 Howland Ave,,M5R,Single/Semi-detached House,11,University-Rosedale,"205 Howland Ave, Toronto, ON, Canada","205, Howland Avenue, Annex, University—Rosedale, Toronto, Golden Horseshoe, Ontario, M5R 3G6, Canada",43.67211375,-79.41090405,
4330466,STR-2009-FDQKPB,812 Dovercourt Rd,,M6H,Single/Semi-detached House,9,Davenport,"812 Dovercourt Rd, Toronto, ON, Canada","812, Dovercourt Road, Dovercourt Village, Davenport, Toronto, Golden Horseshoe, Ontario, M6H 1Z6, Canada",43.663129544444445,-79.4302102,
4330467,STR-2009-GCJKPF,125 North Carson St,,M8W,Single/Semi-detached House,3,Etobicoke-Lakeshore,"125 North Carson St, Toronto, ON, Canada","125, North Carson Street, Alderwood, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, M8W 2T7, Canada",43.607502938888885,-79.53635324,
4330468,STR-2009-HBCKPJ,415 Palmerston Blvd,Main Unit,M6G,Duplex/Triplex/Fourplex,11,University-Rosedale,"415 Palmerston Blvd, Toronto, ON, Canada","415, Palmerston Boulevard, Palmerston-Little Italy, University—Rosedale, Toronto, Golden Horseshoe, Ontario, K4A 1W9, Canada",43.66009935555556,-79.4116372,
4330469,STR-2009-FFFXPB,3981A Bloor St W,,M9B,Single/Semi-detached House,3,Etobicoke-Lakeshore,"3981A Bloor St W, Toronto, ON, Canada","3981A, Bloor Street West, Islington, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9B 4N4, Canada",43.6380525,-79.55082671,
4330470,STR-2009-FMLXPC,92 Wiley Ave,,M4J,Single/Semi-detached House,14,Toronto-Danforth,"92 Wiley Ave, Toronto, ON, Canada","92, Wiley Avenue, Danforth East York, Toronto—Danforth, East York, Toronto, Golden Horseshoe, Ontario, M4J 2A2, Canada",43.68716725653739,-79.33813914,
4330471,STR-2009-FVSXPD,15 Seneca Ave,,M5J,Single/Semi-detached House,10,Spadina-Fort York,"15 Seneca Ave, Toronto, ON, Canada","15, Seneca Avenue, Algonquin Island, Spadina—Fort York, Toronto, Golden Horseshoe, Ontario, M5J 1X9, Canada",43.6286199,-79.36004147,
4330472,STR-2009-HJYXPK,1126 Brimley Rd,,M1P,Single/Semi-detached House,21,Scarborough Centre,"1126 Brimley Rd, Toronto, ON, Canada","1126, Brimley Road, Bendale-Glen Andrew, Scarborough Centre, Scarborough, Toronto, Golden Horseshoe, Ontario, M1P 3Z1, Canada",43.7626352,-79.2587407,
4330473,STR-2009-HZLXPM,50 Marchmount Rd,,M6G,Single/Semi-detached House,12,Toronto-St. Paul's,"50 Marchmount Rd, Toronto, ON, Canada","50, Marchmount Road, Wychwood, Toronto—St. Paul's, Toronto, Golden Horseshoe, Ontario, M6G 2E2, Canada",43.67423678,-79.42706418,
4330474,STR-2009-GVCKPH,32 White Birch Rd,,M1N,Single/Semi-detached House,20,Scarborough Southwest,"32 White Birch Rd, Toronto, ON, Canada","32, White Birch Road, Birchcliffe-Cliffside, Scarborough Southwest, Scarborough, Toronto, Golden Horseshoe, Ontario, M1N 1S2, Canada",43.68601742857143,-79.26927777,
4330475,STR-2009-HCYXPJ,22 Alma Ave,,M6J,Townhouse/ Row House,9,Davenport,"22 Alma Ave, Toronto, ON, Canada","22, Alma Avenue, Beaconsfield Village, Davenport, Toronto, Golden Horseshoe, Ontario, M6J 3L2, Canada",43.64485679166666,-79.42912228,
4330476,STR-2009-GGLXPF,48 Dundonald St,,M4Y,Single/Semi-detached House,13,Toronto Centre,"48 Dundonald St, Toronto, ON, Canada","48, Dundonald Street, Church-Wellesley, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M4Y 0C8, Canada",43.66670251628521,-79.38176373,
4330477,STR-2009-GWYXPH,499 Annette St,,M6P,Single/Semi-detached House,4,Parkdale-High Park,"499 Annette St, Toronto, ON, Canada","499, Annette Street, High Park North, Parkdale—High Park, Toronto, Golden Horseshoe, Ontario, M6P, Canada",43.6601917,-79.4787967,
4330478,STR-2009-HFFXPJ,99 Hillside Ave,,M8V,Single/Semi-detached House,3,Etobicoke-Lakeshore,"99 Hillside Ave, Toronto, ON, Canada","99, Hillside Avenue, Mimico-Queensway, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, M8V 1R4, Canada",43.6101455,-79.49523175,
4330479,STR-2009-GXQKPH,159 Drayton Ave,,M4C,Single/Semi-detached House,19,Beaches-East York,"159 Drayton Ave, Toronto, ON, Canada","159, Drayton Avenue, Woodbine Corridor, Beaches—East York, East York, Toronto, Golden Horseshoe, Ontario, M4C 1H8, Canada",43.683346469565215,-79.31974928,
4330480,STR-2009-FSFXPC,33 Springbank Ave,,M1N,Single/Semi-detached House,20,Scarborough Southwest,"33 Springbank Ave, Toronto, ON, Canada","33, Springbank Avenue, Birchcliffe-Cliffside, Scarborough Southwest, Scarborough, Toronto, Golden Horseshoe, Ontario, M1N 1S5, Canada",43.6932375511628,-79.25967556,
4330481,STR-2009-GQYXPG,27 McManus Rd,,M9P,Single/Semi-detached House,2,Etobicoke Centre,"27 McManus Rd, Toronto, ON, Canada","27, McManus Road, Kingsview Village-The Westway, Etobicoke Centre, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9P 2E8, Canada",43.69734954444955,-79.53692526,
4330482,STR-2009-HWYXPL,120 Homewood Ave,2101,M4Y,Condominium,13,Toronto Centre,"120 Homewood Ave, Toronto, ON, Canada","VERVE, 120, Homewood Avenue, North St.James Town, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M4Y 1J2, Canada",43.6666917,-79.37621984,
4330483,STR-2009-FSWKPC,44 McGill St,,M5B,Townhouse/ Row House,13,Toronto Centre,"44 McGill St, Toronto, ON, Canada","44, McGill Street, Downtown Yonge East, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5B 2H9, Canada",43.66038431,-79.38061103,
4330484,STR-2009-GBCKPD,69 Flamborough Dr,,M6M,Single/Semi-detached House,5,York South-Weston,"69 Flamborough Dr, Toronto, ON, Canada","69, Flamborough Drive, Brookhaven-Amesbury, York South—Weston, North York, Toronto, Golden Horseshoe, Ontario, M6M 2Y8, Canada",43.7010389,-79.4807922,
4330485,STR-2009-GYWKPH,147 Broadview Ave,,M4M,Single/Semi-detached House,14,Toronto-Danforth,"147 Broadview Ave, Toronto, ON, Canada","147, Broadview Avenue, South Riverdale, Toronto—Danforth, Toronto, Golden Horseshoe, Ontario, M4M 2E9, Canada",43.6601871,-79.35020067,
4330486,STR-2009-HXQKPL,1001 Bay St,2703,M5S,Condominium,13,Toronto Centre,"1001 Bay St, Toronto, ON, Canada","Flowers on Bay, 1001, Bay Street, Bay-Cloverhill, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5S 0C5, Canada",43.665332,-79.387225,
4330487,STR-2009-FTLXPC,29 Parsonage Dr,,M1B,Single/Semi-detached House,25,Scarborough-Rouge Park,"29 Parsonage Dr, Toronto, ON, Canada","29, Parsonage Drive, Malvern East, Scarborough—Rouge Park, Scarborough, Toronto, Golden Horseshoe, Ontario, M1B 3G5, Canada",43.81118635666043,-79.21558229,
4330488,STR-2009-GJYXPF,67 Kildonan Dr,,M1N,Single/Semi-detached House,20,Scarborough Southwest,"67 Kildonan Dr, Toronto, ON, Canada","67, Kildonan Drive, Birchcliffe-Cliffside, Scarborough Southwest, Scarborough, Toronto, Golden Horseshoe, Ontario, M1N 1S2, Canada",43.6883676,-79.2664418,
4330489,STR-2009-HHSXPJ,1240 Bloor St W,2,M6H,Apartment,9,Davenport,"1240 Bloor St W, Toronto, ON, Canada","1240, Bloor Street West, Wallace Emerson, Davenport, Toronto, Golden Horseshoe, Ontario, M6H 1N7, Canada",43.6590757,-79.4399598,
4330490,STR-2009-HYFXPL,72 Vauxhall Dr,,M1P,Single/Semi-detached House,21,Scarborough Centre,"72 Vauxhall Dr, Toronto, ON, Canada","72, Vauxhall Drive, Dorset Park, Scarborough Centre, Scarborough, Toronto, Golden Horseshoe, Ontario, M1P 2E3, Canada",43.7529721,-79.28470006,
4330491,STR-2009-GKRRPG,32 Glendale Ave,,M6R,Single/Semi-detached House,4,Parkdale-High Park,"32 Glendale Ave, Toronto, ON, Canada","32, Glendale Avenue, Roncesvalles, Parkdale—High Park, Toronto, Golden Horseshoe, Ontario, M6R 1B6, Canada",43.64042155,-79.45147181,
4330492,STR-2009-GSXRPH,379 Ontario St,,M5A,Single/Semi-detached House,13,Toronto Centre,"379 Ontario St, Toronto, ON, Canada","379, Ontario Street, Moss Park, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5A 2G1, Canada",43.66112638235294,-79.36923451,
4330493,STR-2009-HYXRPM,10 Cromarty Dr,,M9W,Single/Semi-detached House,1,Etobicoke North,"10 Cromarty Dr, Toronto, ON, Canada","10, Cromarty Drive, Rexdale-Kipling, Etobicoke North, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9W 2K4, Canada",43.72414183536863,-79.56224136,
4330494,STR-2009-GDBDPF,6 Kalmar Ave,5,M1N,Townhouse/ Row House,20,Scarborough Southwest,"6 Kalmar Ave, Toronto, ON, Canada","Kalmar Avenue, Birchcliffe-Cliffside, Scarborough Southwest, Scarborough, Toronto, Golden Horseshoe, Ontario, M1N 1S2, Canada",43.69079056758869,-79.26837902,
4330495,STR-2009-GLHDPG,190 Rankin Cres,,M6P,Single/Semi-detached House,9,Davenport,"190 Rankin Cres, Toronto, ON, Canada","190, Rankin Crescent, Junction Triangle, Davenport, Toronto, Golden Horseshoe, Ontario, M6P, Canada",43.66071100833334,-79.44719932,
4330496,STR-2009-GDRRPF,19 Churchill Ave,,M6J,Single/Semi-detached House,9,Davenport,"19 Churchill Ave, Toronto, ON, Canada","19, Churchill Avenue, Trinity-Bellwoods, Davenport, Toronto, Golden Horseshoe, Ontario, M6J 3A5, Canada",43.65182127286561,-79.42287835,
4330497,STR-2009-GLXRPG,249 Shaw St,A,M6J,Townhouse/ Row House,10,Spadina-Fort York,"249 Shaw St, Toronto, ON, Canada","249, Shaw Street, Trinity-Bellwoods, Spadina—Fort York, Toronto, Golden Horseshoe, Ontario, M6J 2W5, Canada",43.64868609999999,-79.41760807,
4330498,STR-2009-GVDRPH,108 Denton Ave,,M1L,Single/Semi-detached House,20,Scarborough Southwest,"108 Denton Ave, Toronto, ON, Canada","108, Denton Avenue, Oakridge, Scarborough Southwest, Scarborough, Toronto, Golden Horseshoe, Ontario, M1N 3P1, Canada",43.69541807272728,-79.27803591,
4330499,STR-2009-HCKRPJ,263 Old Weston Rd,,M6N,Single/Semi-detached House,9,Davenport,"263 Old Weston Rd, Toronto, ON, Canada","263, Old Weston Road, Weston-Pelham Park, Davenport, Toronto, Golden Horseshoe, Ontario, M6N, Canada",43.671660046785895,-79.46231332,
4330500,STR-2009-FPVDPC,105 Sufi Cres,,M4A,Townhouse/ Row House,16,Don Valley East,"105 Sufi Cres, Toronto, ON, Canada","97,99,101,103,105,107, Sufi Crescent, Victoria Village, Don Valley East, North York, Toronto, Golden Horseshoe, Ontario, M4A 1E6, Canada",43.7227535,-79.30936715,
4330501,STR-2009-GVVDPH,115A Homestead Road,,M1E,Single/Semi-detached House,25,Scarborough-Rouge Park,"115A Homestead Road, Toronto, ON, Canada","Homestead Road, West Hill, Scarborough—Rouge Park, Scarborough, Toronto, Golden Horseshoe, Ontario, M1E 3V4, Canada",43.76486495,-79.17810263,
4330502,STR-2009-FHDRPB,2 Grimthorpe Rd,,M6C,Single/Semi-detached House,12,Toronto-St. Paul's,"2 Grimthorpe Rd, Toronto, ON, Canada","2, Grimthorpe Road, Oakwood Village, Toronto—St. Paul's, York, Toronto, Golden Horseshoe, Ontario, M6C 1B6, Canada",43.682195,-79.43081,
4330503,STR-2009-FXRRPD,95 Stafford St,,M6J,Townhouse/ Row House,10,Spadina-Fort York,"95 Stafford St, Toronto, ON, Canada","95, Stafford Street, West Queen West, Spadina—Fort York, Toronto, Golden Horseshoe, Ontario, M5V 3H5, Canada",43.64424061428572,-79.4112914,
4330504,STR-2009-GPDRPG,31A Dixon Rd,,M9P,Single/Semi-detached House,2,Etobicoke Centre,"31A Dixon Rd, Toronto, ON, Canada","Dixon Road, West Humber-Clairville, Etobicoke North, Etobicoke, Toronto, Peel Region, Golden Horseshoe, Ontario, M9W 5N4, Canada",43.68652782919322,-79.6006682,
4330505,STR-2009-HLXRPK,2 Oakhurst Dr,,M2K,Single/Semi-detached House,17,Don Valley North,"2 Oakhurst Dr, Toronto, ON, Canada","2, Oakhurst Drive, Bayview Woods-Steeles, Don Valley North, North York, Toronto, Golden Horseshoe, Ontario, M2K 2M2, Canada",43.7929139,-79.392149,
4330506,STR-2009-HVDRPL,37 Braddock Rd,,M9W,Single/Semi-detached House,1,Etobicoke North,"37 Braddock Rd, Toronto, ON, Canada","37, Braddock Road, West Humber-Clairville, Etobicoke North, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9W 1R9, Canada",43.72075195714285,-79.58511836,
4330507,STR-2009-FHVDPB,158 Hamilton St,,M4M,Single/Semi-detached House,14,Toronto-Danforth,"158 Hamilton St, Toronto, ON, Canada","158, Hamilton Street, South Riverdale, Toronto—Danforth, Toronto, Golden Horseshoe, Ontario, M4M 2G9, Canada",43.66294000833334,-79.35265005,
4330508,STR-2009-GGPDPF,36 Maitland St,H04,M4Y,Apartment,13,Toronto Centre,"36 Maitland St, Toronto, ON, Canada","36, Maitland Street, Church-Wellesley, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M4Y 2C9, Canada",43.6645492,-79.3823243,
4330509,STR-2009-GXBDPH,8 Trophy Dr,,M4A,Single/Semi-detached House,16,Don Valley East,"8 Trophy Dr, Toronto, ON, Canada","8, Trophy Drive, Victoria Village, Don Valley East, North York, Toronto, Golden Horseshoe, Ontario, M4A 1J8, Canada",43.72791456077852,-79.31333705,
4330510,STR-2009-HMPDPK,80 MacDonell Ave,,M6R,Single/Semi-detached House,4,Parkdale-High Park,"80 MacDonell Ave, Toronto, ON, Canada","80, MacDonell Avenue, Roncesvalles, Parkdale—High Park, Toronto, Golden Horseshoe, Ontario, M6K 2W1, Canada",43.64263675,-79.43908813,
4330511,STR-2009-HVVDPL,691 Shaw St,,M6G,Single/Semi-detached House,11,University-Rosedale,"691 Shaw St, Toronto, ON, Canada","691, Shaw Street, Palmerston-Little Italy, University—Rosedale, Toronto, Golden Horseshoe, Ontario, M6G 1M1, Canada",43.66088925348837,-79.42245184,
4330512,STR-2009-GQKRPG,88 Markham St,,M6J,Townhouse/ Row House,10,Spadina-Fort York,"88 Markham St, Toronto, ON, Canada","88, Markham Street, Trinity-Bellwoods, Spadina—Fort York, Toronto, Golden Horseshoe, Ontario, M6J 1T8, Canada",43.64986609914107,-79.40649192,
4330513,STR-2009-GXRRPH,3 Edgedale Rd,,M4X,Single/Semi-detached House,13,Toronto Centre,"3 Edgedale Rd, Toronto, ON, Canada","3, Edgedale Road, North St.James Town, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M4X 1N4, Canada",43.67174087,-79.37327298,
4330514,STR-2009-JDRRPM,10 Langbourne Pl,,M3B,Single/Semi-detached House,16,Don Valley East,"10 Langbourne Pl, Toronto, ON, Canada","10, Langbourne Place, Banbury-Don Mills, Don Valley East, North York, Toronto, Golden Horseshoe, Ontario, M3C 1P6, Canada",43.737613,-79.3484485,
4330515,STR-2009-GYHDPH,6 Havendale Rd,,M1S,Single/Semi-detached House,22,Scarborough-Agincourt,"6 Havendale Rd, Toronto, ON, Canada","6, Havendale Road, Tam O'Shanter-Sullivan, Scarborough—Agincourt, Scarborough, Toronto, Golden Horseshoe, Ontario, M1S 1H5, Canada",43.79136189999999,-79.29111395,
